incident_zip,month,hours_elapsed
10007.0,3,80.11963352007471
10007.0,4,145.36513729246494
10007.0,5,185.77348967057515
10007.0,6,103.11089640365002
10007.0,7,95.483850016197
10007.0,8,180.67813509544786
10007.0,9,182.25623130341867
10009.0,1,33.17081734829288
10009.0,2,64.05509805583807
10009.0,3,63.95665352546666
10009.0,4,43.37633770491802
10009.0,5,66.9714139433552
10009.0,6,99.93307663481365
10009.0,7,118.54811999417504
10009.0,8,78.69328324766042
10009.0,9,110.46737277503337
10010.0,1,47.35929796780149
10010.0,2,79.35470871913577
10010.0,3,77.7431224362404
10010.0,4,82.66350523435639
10010.0,5,204.3956209981168
10010.0,6,96.51209081556297
10010.0,7,108.83137486427799
10010.0,8,111.70456274097441
10010.0,9,125.66816069383087
10011.0,1,40.623550548112036
10011.0,2,75.26722460658084
10011.0,3,89.97180267263587
10011.0,4,102.05177135468794
10011.0,5,143.68552227342548
10011.0,6,157.40594449700396
10011.0,7,153.7989434271504
10011.0,8,134.8822185032614
10011.0,9,109.87073380465304
10012.0,1,37.91876693766944
10012.0,2,56.08603356890459
10012.0,3,89.78516356749306
10012.0,4,114.23536940081439
10012.0,5,154.96844135802468
10012.0,6,153.9485363872647
10012.0,7,128.65521994535504
10012.0,8,149.30085502283103
10012.0,9,183.07694874551973
10013.0,1,42.84869097222225
10013.0,2,57.52035300925922
10013.0,3,102.5570019597818
10013.0,4,93.87675292040201
10013.0,5,85.88212791783377
10013.0,6,150.28986653999277
10013.0,7,100.21814826260137
10013.0,8,107.05087618203308
10013.0,9,89.39454004074591
10014.0,1,54.81025051921081
10014.0,2,62.92600580689894
10014.0,3,107.40378148148162
10014.0,4,117.02441732629727
10014.0,5,98.17451671511645
10014.0,6,138.81936304534707
10014.0,7,109.03674710773677
10014.0,8,147.9840913103797
10014.0,9,196.69764126441123
10016.0,1,36.723146955181
10016.0,2,53.1530844527749
10016.0,3,69.88858740228109
10016.0,4,84.89619885057456
10016.0,5,173.36904490828667
10016.0,6,161.27475228126715
10016.0,7,111.82021281800381
10016.0,8,124.11761194029852
10016.0,9,183.31897065984916
10017.0,1,43.03382967607105
10017.0,2,58.28152647975081
10017.0,3,106.80693486590047
10017.0,4,238.01697094621127
10017.0,5,306.26611684693563
10017.0,6,180.13875482253073
10017.0,7,169.39375159642387
10017.0,8,163.49714310285526
10017.0,9,171.79765306122442
10018.0,1,41.16955325548478
10018.0,2,46.16934604346045
10018.0,3,124.73463308457717
10018.0,4,122.47880123456797
10018.0,5,344.2297114632236
10018.0,6,167.6191775294846
10018.0,7,72.49608040201005
10018.0,8,74.75954191919192
10018.0,9,90.09936878306871
10019.0,1,44.738757353757364
10019.0,2,61.56680408115124
10019.0,3,81.14472452170713
10019.0,4,133.8848929177268
10019.0,5,57.993782188363205
10019.0,6,179.80131129104802
10019.0,7,89.96725474254737
10019.0,8,84.12852204783267
10019.0,9,98.48908188779492
10020.0,1,41.174
10020.0,2,92.0128497942387
10020.0,3,35.18086805555556
10020.0,4,0.25125000000000003
10020.0,5,271.89185185185187
10020.0,6,487.39977124183
10020.0,7,54.54731481481482
10020.0,8,69.59283950617284
10020.0,9,11.679242424242425
10021.0,1,45.01267676767677
10021.0,2,94.39333914053427
10021.0,3,90.48278602044186
10021.0,4,117.87428060768556
10021.0,5,121.76133441091953
10021.0,6,178.79767594108014
10021.0,7,155.08363072639855
10021.0,8,145.17725188781012
10021.0,9,293.9132352520043
10022.0,1,39.51881069958842
10022.0,2,72.66716037735854
10022.0,3,92.61769285208773
10022.0,4,214.29782634628506
10022.0,5,184.63274066797632
10022.0,6,191.0113608515057
10022.0,7,123.86501630679253
10022.0,8,169.21709413580248
10022.0,9,149.90908037288997
10023.0,1,37.86957797772064
10023.0,2,64.165030325085
10023.0,3,90.67974376417236
10023.0,4,108.15745393634846
10023.0,5,94.09914963148378
10023.0,6,122.5919708550833
10023.0,7,84.67383846820091
10023.0,8,92.80723428702744
10023.0,9,134.19379552099937
10024.0,1,41.9182256986228
10024.0,2,77.13775429851185
10024.0,3,96.12025817484148
10024.0,4,97.63148687664028
10024.0,5,86.94260986488258
10024.0,6,151.0225103007827
10024.0,7,140.59040385295154
10024.0,8,120.16818543799793
10024.0,9,84.57665045121252
10025.0,1,48.17112420917356
10025.0,2,79.89585027726432
10025.0,3,81.90682139470744
10025.0,4,90.70397737455195
10025.0,5,54.31631758669507
10025.0,6,158.51327056013014
10025.0,7,129.83094595522613
10025.0,8,146.0359037940379
10025.0,9,97.78755565376798
10026.0,1,32.25480169440694
10026.0,2,80.87429281537175
10026.0,3,79.79535519125697
10026.0,4,48.79871614781059
10026.0,5,41.88532044969641
10026.0,6,82.48083415273673
10026.0,7,91.40778124134127
10026.0,8,115.06278211805534
10026.0,9,69.4553625679302
10027.0,1,45.299740757439125
10027.0,2,61.159898989899105
10027.0,3,93.05755888888893
10027.0,4,49.82057640570343
10027.0,5,72.12649542739831
10027.0,6,97.34457084468653
10027.0,7,138.37907239493387
10027.0,8,146.58333580420265
10027.0,9,107.86099673202617
10028.0,1,46.01827437393629
10028.0,2,95.83858229598901
10028.0,3,100.76260378510368
10028.0,4,79.67930764236687
10028.0,5,41.86217385620917
10028.0,6,100.22072482638863
10028.0,7,106.174494047619
10028.0,8,94.19417953929535
10028.0,9,175.52384401709412
10029.0,1,38.26708954820575
10029.0,2,70.10354316922763
10029.0,3,62.897962809917466
10029.0,4,52.66602401318722
10029.0,5,54.37771328293747
10029.0,6,84.84641123982456
10029.0,7,116.56906356509884
10029.0,8,93.24731933842251
10029.0,9,126.49012195509759
10030.0,1,54.0151356183499
10030.0,2,66.3238824289405
10030.0,3,89.08609327626179
10030.0,4,32.070783417162026
10030.0,5,68.30815570477505
10030.0,6,105.14806249154141
10030.0,7,221.138601239443
10030.0,8,163.35219084146868
10030.0,9,184.2725991338476
10031.0,1,45.59310465116285
10031.0,2,78.49867720541464
10031.0,3,73.50040051234986
10031.0,4,35.81745036399747
10031.0,5,68.80145149624825
10031.0,6,107.34609774699119
10031.0,7,89.23620195667365
10031.0,8,104.70546372036654
10031.0,9,101.54351448844464
10032.0,1,36.28956562121999
10032.0,2,74.25912082425559
10032.0,3,66.13711426000894
10032.0,4,43.9237217394803
10032.0,5,60.62102693955503
10032.0,6,76.7262999533146
10032.0,7,74.18028137886228
10032.0,8,71.62420049751252
10032.0,9,170.852077723928
10033.0,1,42.3186061296138
10033.0,2,78.3604356959272
10033.0,3,76.81771780303009
10033.0,4,52.22022585893391
10033.0,5,53.596975790316044
10033.0,6,135.22632438032682
10033.0,7,97.83177285318564
10033.0,8,76.13585511723706
10033.0,9,182.0304416363516
10034.0,1,35.18126144255056
10034.0,2,63.50348939057497
10034.0,3,88.50611809630269
10034.0,4,55.69962319958848
10034.0,5,31.251117693995656
10034.0,6,69.88116875712632
10034.0,7,54.649488634664124
10034.0,8,41.48539413714526
10034.0,9,91.99885149572648
10035.0,1,43.9733516811743
10035.0,2,76.34957805325986
10035.0,3,83.15255871725378
10035.0,4,79.28419814584193
